赛区,学校,战队,兵种,MVP次数
2026全国赛,北京理工大学,追梦,步兵4,3
2026全国赛,北京理工大学,追梦,哨兵,0
2026全国赛,北京理工大学,追梦,无人机,0
2026全国赛,北京理工大学,追梦,雷达,0
2026全国赛,北京理工大学,追梦,工程,1
2026全国赛,北京理工大学,追梦,飞镖,3
2026全国赛,复旦大学,星云EGA,英雄,0
2026全国赛,复旦大学,星云EGA,步兵3,3
2026全国赛,复旦大学,星云EGA,步兵4,2
2026全国赛,复旦大学,星云EGA,哨兵,1
2026全国赛,复旦大学,星云EGA,无人机,0
2026全国赛,复旦大学,星云EGA,雷达,0
2026全国赛,复旦大学,星云EGA,工程,4
2026全国赛,复旦大学,星云EGA,飞镖,4
2026全国赛,同济大学,SuperPower,英雄,14
2026全国赛,同济大学,SuperPower,步兵3,3
2026全国赛,同济大学,SuperPower,步兵4,3
2026全国赛,同济大学,SuperPower,哨兵,2
2026全国赛,同济大学,SuperPower,无人机,0
2026全国赛,同济大学,SuperPower,雷达,3
2026全国赛,同济大学,SuperPower,工程,0
2026全国赛,同济大学,SuperPower,飞镖,1
2026全国赛,西安交通大学,笃行,英雄,1
2026全国赛,西安交通大学,笃行,步兵3,3
2026全国赛,西安交通大学,笃行,步兵4,2
2026全国赛,西安交通大学,笃行,哨兵,0
2026全国赛,西安交通大学,笃行,无人机,1
2026全国赛,西安交通大学,笃行,雷达,2
2026全国赛,西安交通大学,笃行,工程,4
2026全国赛,西安交通大学,笃行,飞镖,5
2026全国赛,大连理工大学,凌BUG,英雄,1
2026全国赛,大连理工大学,凌BUG,步兵3,1
2026全国赛,大连理工大学,凌BUG,步兵4,0
2026全国赛,大连理工大学,凌BUG,哨兵,0
2026全国赛,大连理工大学,凌BUG,无人机,1
2026全国赛,大连理工大学,凌BUG,雷达,0
2026全国赛,大连理工大学,凌BUG,工程,0
2026全国赛,大连理工大学,凌BUG,飞镖,6
2026全国赛,长安大学,VGD,英雄,0
2026全国赛,长安大学,VGD,步兵3,0
2026全国赛,长安大学,VGD,步兵4,0
2026全国赛,长安大学,VGD,哨兵,0
2026全国赛,长安大学,VGD,无人机,0
2026全国赛,长安大学,VGD,雷达,0
2026全国赛,长安大学,VGD,工程,0
2026全国赛,长安大学,VGD,飞镖,0
2026全国赛,沈阳理工大学,Ambition,英雄,2
2026全国赛,沈阳理工大学,Ambition,步兵3,0
2026全国赛,沈阳理工大学,Ambition,步兵4,0
2026全国赛,沈阳理工大学,Ambition,哨兵,0
2026全国赛,沈阳理工大学,Ambition,无人机,0
2026全国赛,沈阳理工大学,Ambition,雷达,0
2026全国赛,沈阳理工大学,Ambition,工程,1
2026全国赛,沈阳理工大学,Ambition,飞镖,1
2026全国赛,应急管理大学,风暴,英雄,0
2026全国赛,应急管理大学,风暴,步兵3,0
2026全国赛,应急管理大学,风暴,步兵4,2
2026全国赛,应急管理大学,风暴,哨兵,1
2026全国赛,应急管理大学,风暴,无人机,2
2026全国赛,应急管理大学,风暴,雷达,0
2026全国赛,应急管理大学,风暴,工程,1
2026全国赛,应急管理大学,风暴,飞镖,0
